,x,y,MonthYear,Zscore,Year,Month,Hotspot Prob
126893,-70.10036,44.12475,2016-07-01,-0.5067232,2016,7,50
126894,-70.09999,44.12475,2016-07-01,-0.5731624,2016,7,50
126895,-70.09961,44.12475,2016-07-01,-0.6104647,2016,7,50
126896,-70.09924,44.12475,2016-07-01,-0.6377977,2016,7,50
126897,-70.09886,44.12475,2016-07-01,-0.6776174,2016,7,50
126898,-70.09849,44.12475,2016-07-01,-0.7084827,2016,7,50
126899,-70.09811,44.12475,2016-07-01,-0.7203254,2016,7,50
126900,-70.09774,44.12475,2016-07-01,-0.6965966,2016,7,50
126901,-70.09736,44.12475,2016-07-01,-0.6942915,2016,7,50
126902,-70.09699,44.12475,2016-07-01,-0.7227803,2016,7,50
126903,-70.09661,44.12475,2016-07-01,-0.7572094,2016,7,50
126904,-70.09624,44.12475,2016-07-01,-0.7960211,2016,7,50
126905,-70.09586,44.12475,2016-07-01,-0.8034424,2016,7,50
126906,-70.09549,44.12475,2016-07-01,-0.7993587,2016,7,50
126907,-70.09511,44.12475,2016-07-01,-0.7855828,2016,7,50
126908,-70.09474,44.12475,2016-07-01,-0.7898101,2016,7,50
126909,-70.09436,44.12475,2016-07-01,-0.8174103,2016,7,50
126910,-70.09399,44.12475,2016-07-01,-0.8871097,2016,7,50
126911,-70.09361,44.12475,2016-07-01,-0.9592868,2016,7,50
126912,-70.09324,44.12475,2016-07-01,-1.023543,2016,7,5
126913,-70.09286,44.12475,2016-07-01,-1.055056,2016,7,5
126914,-70.09249,44.12475,2016-07-01,-1.099792,2016,7,5
126915,-70.09211,44.12475,2016-07-01,-1.163149,2016,7,5
126916,-70.09174,44.12475,2016-07-01,-1.290487,2016,7,5
126917,-70.09136,44.12475,2016-07-01,-1.690397,2016,7,5
126918,-70.09099,44.12475,2016-07-01,-2.182936,2016,7,1
126919,-70.09061,44.12475,2016-07-01,-2.423564,2016,7,1
126920,-70.09024,44.12475,2016-07-01,-2.512194,2016,7,1
126921,-70.08986,44.12475,2016-07-01,-2.434517,2016,7,1
126922,-70.08949,44.12475,2016-07-01,-2.008126,2016,7,1
126923,-70.08911,44.12475,2016-07-01,-1.832016,2016,7,5
126924,-70.10674,44.12448,2016-07-01,-2.009913,2016,7,1
126925,-70.10636,44.12448,2016-07-01,-1.795903,2016,7,5
126926,-70.10599,44.12448,2016-07-01,-1.383314,2016,7,5
126927,-70.10561,44.12448,2016-07-01,-0.5713644,2016,7,50
126928,-70.10524,44.12448,2016-07-01,-0.05693942,2016,7,50
126929,-70.10486,44.12448,2016-07-01,0.09625345,2016,7,50
126930,-70.10449,44.12448,2016-07-01,0.1396435,2016,7,50
126931,-70.10411,44.12448,2016-07-01,0.1063771,2016,7,50
126932,-70.10374,44.12448,2016-07-01,-0.021073,2016,7,50
126933,-70.10336,44.12448,2016-07-01,-0.09339076,2016,7,50
